Individual,R_p_panel_rationalisation,R_t_truss_rationalisation,opening_complexity_index,P_f_prefab_level
54,0.99558,0.61233,0.81014,0.71801
55,0.04124,0.91087,1.14478,0.65241
56,0.42711,0.92547,0.98398,0.62039
57,0.1251,0.41997,0.98545,0.58623
58,0.16747,0.59083,1.14782,0.89772
59,0.46197,0.25671,0.93959,0.68995
60,0.05932,0.31708,1.14648,0.79607
61,0.63206,0.50972,0.89308,0.68739
62,0.42058,0.22841,1.05379,0.50289
63,0.55487,0.21105,1.12075,0.73281
64,0.22088,0.9352,1.00851,0.5306
65,0.944,0.73248,1.04345,0.69057
66,0.88498,0.19417,1.2721,0.85071
67,0.25163,0.01245,1.03387,0.50007
68,0.64748,0.35815,1.04691,0.76185
69,0.18136,0.66478,0.87517,0.68207
70,0.81513,0.82797,1.18716,0.75585
71,0.27201,0.03485,0.84497,0.83267
72,0.49041,0.37372,0.83169,0.66573
73,0.3629,0.36769,1.12268,0.74569
74,0.07227,0.05222,1.29592,0.86119
75,0.20764,0.97477,1.24796,0.84673
76,0.74292,0.11277,1.24068,0.83575
77,0.43891,0.81962,0.82578,0.70378
78,0.33488,0.54613,1.00661,0.54093
79,0.55614,0.13597,1.01974,0.80173
80,0.15736,0.23301,1.24709,0.54383
81,0.9797,0.8313,1.16125,0.52083
82,0.69014,0.49879,0.88165,0.61642
83,0.3735,0.4888,1.13574,0.62882
84,0.71054,0.41265,1.10828,0.86999
85,0.97404,0.0745,1.02346,0.54468
86,0.39797,0.28466,0.94033,0.87105
87,0.06462,0.00513,1.28742,0.78144
88,0.17615,0.14968,1.03693,0.81903
89,0.00841,0.07856,1.19313,0.76734
90,0.41429,0.51257,1.05697,0.83103
91,0.68008,0.47816,1.29051,0.82264
92,0.03564,0.01938,0.89537,0.8075
93,0.24258,0.87124,1.17072,0.63961
94,0.64221,0.45003,1.05036,0.77064
95,0.29361,0.46774,1.00025,0.54822
96,0.16334,0.32798,0.98057,0.59265
97,0.98591,0.43374,0.86146,0.88002
98,0.78862,0.42461,0.85986,0.86552
99,0.34866,0.95611,0.96071,0.52708
100,0.07892,0.76598,0.84866,0.53704
101,0.14481,0.81296,1.17273,0.89391
102,0.09314,0.85023,1.08817,0.88492
103,0.73712,0.3208,0.91937,0.78551
104,0.81186,0.71555,0.95216,0.7214
105,0.59352,0.94046,1.07412,0.63785
106,0.39117,0.62236,1.08514,0.80264
107,0.65085,0.84403,1.10153,0.73198
108,0.57277,0.16864,0.95521,0.50591
109,0.68777,0.09385,0.85225,0.68157
110,0.28308,0.1171,0.99253,0.85539
111,0.30907,0.99609,1.21004,0.74382
112,0.80045,0.14269,1.06167,0.83848
113,0.40083,0.7218,1.25938,0.50774
114,0.53682,0.9771,1.19159,0.58211
115,0.90557,0.66677,1.04818,0.8724
116,0.5951,0.99231,0.82898,0.71094
117,0.44454,0.15111,0.91284,0.59671
118,0.23905,0.16451,0.92065,0.64891
119,0.89993,0.38502,1.13929,0.68538
120,0.35295,0.96537,0.8338,0.61052
121,0.32316,0.52425,1.24269,0.88249
122,0.10867,0.68987,1.29472,0.86783
123,0.95879,0.55473,1.03137,0.64188
124,0.58476,0.10564,1.1186,0.71643
125,0.92383,0.90415,1.1281,0.52514
126,0.49642,0.71069,1.25343,0.51509
127,0.85616,0.79359,0.9989,0.60833
128,0.03238,0.20984,1.26313,0.62751
129,0.62956,0.2688,1.25538,0.5585
130,0.47053,0.85993,1.2062,0.56687
131,0.84518,0.8389,0.97199,0.55021
132,0.94762,0.24467,1.01414,0.59873
133,0.82025,0.25257,0.90383,0.58523
134,0.54256,0.31368,1.2318,0.5682
135,0.21943,0.62711,0.8195,0.799
136,0.96126,0.98953,1.12586,0.57914
137,0.83209,0.92389,0.96859,0.67351
138,0.96506,0.27821,0.92258,0.81683
139,0.00277,0.7395,0.84577,0.89422
140,0.25643,0.38491,0.92586,0.55212
141,0.10028,0.19527,1.17844,0.55685
142,0.02244,0.40984,1.0802,0.54617
143,0.35619,0.08314,1.02182,0.81209
144,0.91902,0.39826,0.90623,0.62454
145,0.15147,0.68461,0.86665,0.84842
146,0.77368,0.33004,1.07676,0.61837
147,0.48908,0.10112,1.21853,0.77344
148,0.26714,0.4602,1.22337,0.79515
149,0.46512,0.88169,0.90039,0.85958
150,0.1728,0.26322,0.8791,0.8244
151,0.87752,0.27244,1.13279,0.78969
152,0.50403,0.65661,1.27387,0.65035
153,0.70673,0.17936,1.27991,0.56012
154,0.7557,0.29749,0.93488,0.56417
155,0.57539,0.50304,1.06875,0.76208
156,0.58963,0.8859,0.88338,0.766
157,0.8898,0.18652,1.18001,0.89811
158,0.54806,0.21622,1.05937,0.67575
159,0.53253,0.77849,0.98913,0.77575
160,0.61975,0.78226,0.93526,0.78653
161,0.85432,0.98461,1.16665,0.66286
162,0.23479,0.60497,0.94653,0.84341
163,0.18553,0.04417,1.19927,0.87988
164,0.04888,0.77165,1.17581,0.83733
165,0.1473,0.06818,0.88543,0.80812
166,0.71622,0.74393,0.97356,0.72793
167,0.76565,0.09558,0.96428,0.57535
168,0.51638,0.04784,1.04245,0.80449
169,0.80815,0.15927,0.89145,0.79087
170,0.93894,0.72756,1.16795,0.67041
171,0.37664,0.78575,0.80089,0.82861
172,0.63804,0.47085,0.9668,0.51977
173,0.31447,0.57866,1.21597,0.77822
174,0.11521,0.58431,1.26956,0.60253
175,0.32941,0.12853,1.28947,0.79334
176,0.66394,0.08882,1.25097,0.86341
177,0.87325,0.86872,0.86408,0.88641
178,0.34135,0.5744,1.15359,0.53569
179,0.11001,0.35431,0.80702,0.70683
180,0.05446,0.89728,1.2384,0.7588
181,0.06931,0.03729,0.89823,0.60756
182,0.21493,0.8491,0.86969,0.69209
183,0.98476,0.34591,0.80316,0.72529
184,0.38349,0.75986,1.20496,0.53306
185,0.08149,0.34368,1.26136,0.63322
186,0.66516,0.96396,1.23451,0.6476
187,0.29815,0.56408,0.85364,0.77691
188,0.6113,0.79904,1.09066,0.65723
189,0.27505,0.70283,1.15219,0.7474
190,0.67354,0.82081,1.03766,0.75683
191,0.45738,0.30485,1.10424,0.78364
192,0.52342,0.61787,1.20777,0.52842
193,0.48263,0.63303,0.94853,0.50893
194,0.76344,0.91691,0.97942,0.70957
195,0.77787,0.53887,0.91583,0.65967
196,0.95257,0.86435,0.83714,0.62223
197,0.02876,0.49359,1.02615,0.60191
198,0.62193,0.448,1.07155,0.7138
199,0.82753,0.0299,1.22901,0.89192
200,0.45279,0.67445,1.01603,0.52334
