Individual,R_p_panel_rationalisation,R_t_truss_rationalisation,opening_complexity_index,P_f_prefab_level
63,0.01096,0.6775,0.83581,0.5076
64,0.74458,0.50878,1.20564,0.79717
65,0.76435,0.88228,0.98774,0.74926
66,0.74781,0.90352,1.26653,0.73321
67,0.54171,0.09091,0.97363,0.77962
68,0.33646,0.60155,0.89845,0.61982
69,0.69565,0.93737,0.82238,0.5244
70,0.21351,0.29817,0.97877,0.66994
71,0.21522,0.30844,1.06365,0.72181
72,0.96303,0.48541,1.03227,0.53844
73,0.98376,0.20556,0.95735,0.81526
74,0.06003,0.99464,1.05547,0.83855
75,0.88313,0.79918,1.2981,0.88008
76,0.22315,0.1706,0.97113,0.85975
77,0.08044,0.12143,0.99591,0.83683
78,0.50362,0.81095,0.90506,0.84728
79,0.12605,0.86799,0.95209,0.59718
80,0.80723,0.53641,0.87679,0.88768
81,0.72133,0.6578,1.18624,0.54406
82,0.10554,0.95043,0.85647,0.5083
83,0.45394,0.00514,0.93801,0.5263
84,0.66337,0.88606,0.84141,0.66701
85,0.01897,0.83742,1.09064,0.74107
86,0.41225,0.73333,1.06231,0.87305
87,0.32138,0.29392,1.08054,0.61554
88,0.61845,0.5167,0.90086,0.65769
89,0.69179,0.55704,0.84929,0.5491
90,0.34843,0.22807,1.28813,0.8797
91,0.39568,0.67474,0.89468,0.81974
92,0.62675,0.63002,1.0707,0.79207
93,0.40421,0.39164,1.10208,0.69138
94,0.98631,0.80863,1.14737,0.56955
95,0.96602,0.87455,0.93045,0.6297
96,0.61193,0.17939,0.92871,0.73454
97,0.33198,0.31686,0.93535,0.84323
98,0.73564,0.77016,0.92031,0.73105
99,0.07231,0.69001,1.09766,0.86707
100,0.80127,0.54078,1.14433,0.82398
101,0.68996,0.06513,1.23569,0.51354
102,0.18221,0.91008,1.23846,0.61393
103,0.23629,0.24587,1.16605,0.80873
104,0.86025,0.7371,1.00136,0.69833
105,0.87905,0.26275,0.81095,0.89258
106,0.15723,0.84442,1.04964,0.54783
107,0.66617,0.15237,1.05161,0.84558
108,0.36615,0.66843,0.82792,0.67569
109,0.3186,0.00401,1.14802,0.64636
110,0.20783,0.26662,1.141,0.53092
111,0.49714,0.01861,1.27369,0.58136
112,0.14063,0.98846,0.97615,0.80782
113,0.15048,0.27548,0.8895,0.52029
114,0.00183,0.85405,1.17096,0.75609
115,0.16551,0.49691,1.17699,0.57322
116,0.52504,0.23609,1.11266,0.76132
117,0.49397,0.69578,1.29018,0.8946
118,0.58585,0.76467,0.96218,0.8686
119,0.84391,0.95641,0.8786,0.70217
120,0.51658,0.04888,0.86014,0.6277
121,0.94737,0.75912,1.2953,0.81723
122,0.55399,0.14468,1.18292,0.83586
123,0.43302,0.43304,1.15143,0.67935
124,0.97232,0.4159,0.87144,0.78851
125,0.95641,0.4905,0.94096,0.5943
126,0.04029,0.03535,1.25029,0.65322
127,0.78869,0.62862,1.17754,0.68547
128,0.6791,0.484,0.98477,0.84876
129,0.47636,0.76894,1.24359,0.56141
130,0.46643,0.78563,0.96645,0.52328
131,0.55912,0.72713,1.04674,0.50405
132,0.20007,0.44017,0.86607,0.74599
133,0.8452,0.44661,0.80079,0.82594
134,0.75921,0.12711,0.96888,0.73881
135,0.5819,0.7917,0.80704,0.69662
136,0.83687,0.23433,0.83988,0.81123
137,0.79668,0.04495,1.22586,0.77005
138,0.52141,0.57203,1.16125,0.65098
139,0.50842,0.64174,0.80384,0.8971
140,0.9256,0.25431,0.85922,0.5577
141,0.32936,0.40016,0.91196,0.58563
142,0.00997,0.05896,0.92573,0.76918
143,0.81902,0.01045,1.18937,0.83029
144,0.65609,0.85612,0.94854,0.55858
145,0.85377,0.08937,0.80789,0.82667
146,0.97922,0.72089,0.8261,0.82018
147,0.53557,0.8922,1.26437,0.78069
148,0.29806,0.65192,0.98133,0.68028
149,0.81068,0.36092,0.86367,0.65866
150,0.16325,0.52219,1.13506,0.83226
151,0.43585,0.6132,1.11709,0.78491
152,0.25555,0.2234,1.02878,0.85135
153,0.0268,0.15503,1.13327,0.72542
154,0.0516,0.6366,1.22205,0.88586
155,0.313,0.16871,1.22845,0.57755
156,0.71262,0.8015,1.07949,0.60244
157,0.25401,0.41389,0.89506,0.53327
158,0.99158,0.46168,1.02224,0.59169
159,0.35534,0.13365,1.19588,0.6107
160,0.2786,0.39601,1.23178,0.76706
161,0.39154,0.46983,1.29314,0.69416
162,0.54732,0.37252,1.11815,0.50123
163,0.30568,0.02444,1.10834,0.5363
164,0.71569,0.99579,1.21054,0.75366
165,0.11206,0.45381,0.88508,0.79108
166,0.3893,0.34702,0.91594,0.55064
167,0.10043,0.68687,0.94254,0.66074
168,0.7024,0.90869,1.0953,0.50215
169,0.02058,0.16273,1.25679,0.59808
170,0.56159,0.66465,0.83411,0.60028
171,0.91424,0.10539,0.81835,0.56423
172,0.44924,0.33506,0.81269,0.76577
173,0.37628,0.91592,1.21961,0.68905
174,0.04942,0.35357,0.85167,0.64862
175,0.35294,0.03226,1.23254,0.68657
176,0.86775,0.74858,1.27051,0.58609
177,0.24986,0.40977,0.84682,0.86321
178,0.08814,0.09747,1.13051,0.71954
179,0.82208,0.71854,0.93312,0.71798
180,0.57239,0.30062,1.15528,0.80102
181,0.11989,0.47904,0.90849,0.63416
182,0.37227,0.77601,1.15919,0.51479
183,0.46124,0.97978,0.87452,0.56796
184,0.05744,0.07449,0.8166,0.58848
185,0.12107,0.13883,1.27786,0.63038
186,0.19768,0.32618,1.26216,0.66378
187,0.7943,0.20445,0.84308,0.51778
188,0.57525,0.34348,0.96494,0.79472
189,0.93596,0.96306,1.10462,0.57992
190,0.42872,0.5656,0.99012,0.79942
191,0.17092,0.93377,1.28421,0.60922
192,0.09603,0.02922,1.03253,0.56333
193,0.59295,0.35794,1.28074,0.75412
194,0.56747,0.9212,1.00651,0.70585
195,0.62016,0.19558,1.01956,0.54262
196,0.18563,0.11864,1.13836,0.85287
197,0.48886,0.74047,1.21439,0.80307
198,0.67222,0.86352,1.27573,0.66452
199,0.03634,0.54837,0.89225,0.84033
200,0.59632,0.36502,1.03796,0.71368
